id,dirreccion,barrio,comuna,geometry
142,Patricias Argentinas Av. 100,Caballito,Comuna 6,POINT (-58.43312081631825 -34.60762680980476)
143,Melian Av. 2500,Belgrano,Comuna 13,POINT (-58.471335026074236 -34.56554573800942)
144,2 De Abril De 1982 y Piedra Buena Av.,Villa Lugano,Comuna 8,POINT (-58.48935053579753 -34.67647843858237)
145,Lima 1600,Constitucion,Comuna 1,POINT (-58.38223995121262 -34.6269148120993)
146,"Paz, Gral. Av. 10852",Liniers,Comuna 9,POINT (-58.52883894956664 -34.64261073726406)
147,"Lacroze, Federico Av. 4200",Chacarita,Comuna 15,POINT (-58.45497694766905 -34.586936753576786)
148,Republica Bolivariana De Venezuela 1517,Monserrat,Comuna 1,POINT (-58.38774323699106 -34.614673134631076)
149,Del Libertador Av. 4215,Palermo,Comuna 14,POINT (-58.42805134648168 -34.568667650068264)
150,San Pedrito 1053,Flores,Comuna 7,POINT (-58.461323951740106 -34.64247046009236)
151,Congreso 1614,Belgrano,Comuna 13,POINT (-58.45448075154617 -34.55132682065936)
152,"Justo, Juan B. Av. 1617",Palermo,Comuna 14,POINT (-58.43598209380613 -34.58605390860211)
153,"Araoz De Lamadrid, Gregorio, Gral. 800",La Boca,Comuna 4,POINT (-58.36356507876013 -34.63928671856812)
154,Pueyrredon Av. 1714,Recoleta,Comuna 2,POINT (-58.401021130993556 -34.59129309334382)
155,Segurola Av. 1700,Monte Castro,Comuna 10,POINT (-58.49923967755392 -34.62062033925748)
156,Gallo 171,Balvanera,Comuna 3,POINT (-58.41365731521098 -34.60638766445399)
157,"Garay, Juan De Av. 1770",Constitucion,Comuna 1,POINT (-58.39053453610882 -34.62731617760105)
158,Callao Av. 1700,Recoleta,Comuna 2,POINT (-58.39011421826662 -34.590023461796484)
159,Guido 1900,Recoleta,Comuna 2,POINT (-58.39091783857855 -34.589289606608375)
160,"Guemes, Macacha 500",Puerto Madero,Comuna 1,POINT (-58.36237403837695 -34.604700825202386)
161,"Flores, Venancio, Gral. 3700",Floresta,Comuna 10,POINT (-58.47942776154648 -34.63173375846021)
162,"Goyena, Pedro Av. 400",Caballito,Comuna 6,POINT (-58.43262604822932 -34.625772928533046)
163,"Cossettini, Olga y De La Barra,  Emma",Puerto Madero,Comuna 1,POINT (-58.36460102368958 -34.60103930555544)
164,"Antartida Argentina Av. y Grierson, Cecilia",Retiro,Comuna 1,POINT (-58.36812860890467 -34.5984320378775)
165,"Guemes, Macacha 400",Puerto Madero,Comuna 1,POINT (-58.36341369190727 -34.60478818908416)
166,Avellaneda Av. 1400,Caballito,Comuna 6,POINT (-58.45188769313492 -34.61967992685862)
167,Corrientes Av. 602,San Nicolas,Comuna 1,POINT (-58.375431188901445 -34.60340548618105)
168,Corrientes Av. 700,San Nicolas,Comuna 1,POINT (-58.376550817829106 -34.60347414233079)
169,Roosevelt Franklin D. Av. y Triunvirato Av.,Villa Urquiza,Comuna 12,POINT (-58.48723780503474 -34.573618856717005)
170,Don Pedro De Mendoza Av. 1800,La Boca,Comuna 4,POINT (-58.36028876171086 -34.63897287446005)
171,"Sanchez, Miguel B. Av. 1400",Nuñez,Comuna 13,POINT (-58.45808495828506 -34.543968116173865)
172,"Freyre, Marcelino E., Cnel. Av. y Dorrego Av.",Palermo,Comuna 14,POINT (-58.421860001474116 -34.56859264335922)
